"filename", "language", "JSON with Comments", "HTML", "TypeScript", "JSON", "Vue", "Docker", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/user/Documents/AAOPTOM Website/Dockerfile", "Docker", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"/Users/user/Documents/AAOPTOM Website/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 68, 0, 0, 38, 106
"/Users/user/Documents/AAOPTOM Website/client/env.d.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 1, 7, 37
"/Users/user/Documents/AAOPTOM Website/client/index.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/user/Documents/AAOPTOM Website/client/src/App.vue", "Vue", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/user/Documents/AAOPTOM Website/client/src/api/client.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/user/Documents/AAOPTOM Website/client/src/components/AppHeader.vue", "Vue", 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 49
"/Users/user/Documents/AAOPTOM Website/client/src/components/BadgeScan.vue", "Vue", 0, 0, 0, 0, 540, 0, 0, 0, 0, 28, 568
"/Users/user/Documents/AAOPTOM Website/client/src/components/UiAlert.vue", "Vue", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/Users/user/Documents/AAOPTOM Website/client/src/components/UiButton.vue", "Vue", 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"/Users/user/Documents/AAOPTOM Website/client/src/composables/contactCache.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/user/Documents/AAOPTOM Website/client/src/composables/recent.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/user/Documents/AAOPTOM Website/client/src/composables/session.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 8, 66
"/Users/user/Documents/AAOPTOM Website/client/src/composables/theme.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/user/Documents/AAOPTOM Website/client/src/lib/format.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/user/Documents/AAOPTOM Website/client/src/lib/localRecognition.ts", "TypeScript", 0, 0, 158, 0, 0, 0, 0, 0, 0, 15, 173
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/contactMatch.test.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/contactMatch.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 12, 137
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/engines.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/frameQuality.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/nameExtraction.test.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 13, 114
"/Users/user/Documents/AAOPTOM Website/client/src/lib/ocr/nameExtraction.ts", "TypeScript", 0, 0, 377, 0, 0, 0, 0, 0, 0, 38, 415
